filename,song_id,mode,c1,c2,hue,brightness,warmth,chosen,session
It_Only_Takes_One_Night_1_b632af.jpg,1TM0ipSTznWDTBn6F1Ovqg,radial,#61574c,#cbc7bd,40,0.71,neutral,0,709234cb-57e9-467d-8f0e-c8fcf0100bbd
It_Only_Takes_One_Night_2_8b3ea4.jpg,1TM0ipSTznWDTBn6F1Ovqg,shape-blur,#221815,#cbc7bd,40,0.71,neutral,0,709234cb-57e9-467d-8f0e-c8fcf0100bbd
It_Only_Takes_One_Night_3_b0accd.jpg,1TM0ipSTznWDTBn6F1Ovqg,dual-radial,#221815,#692c24,40,0.71,neutral,0,709234cb-57e9-467d-8f0e-c8fcf0100bbd
It_Only_Takes_One_Night_1_57e5ed.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#692c24,#221815,40,0.71,neutral,0,3dee788d-4fa4-4239-bd87-7ca0dba4a5fd
It_Only_Takes_One_Night_2_ed978b.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#221815,#61574c,40,0.71,neutral,0,3dee788d-4fa4-4239-bd87-7ca0dba4a5fd
It_Only_Takes_One_Night_3_b28d2b.jpg,1TM0ipSTznWDTBn6F1Ovqg,diagonal,#61574c,#975b31,40,0.71,neutral,0,3dee788d-4fa4-4239-bd87-7ca0dba4a5fd
It_Only_Takes_One_Night_1_44a49c.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#975b31,#692c24,40,0.71,neutral,1,f418352f-0856-4cd4-a707-e8ea90055b55
It_Only_Takes_One_Night_2_848dcc.jpg,1TM0ipSTznWDTBn6F1Ovqg,radial,#975b31,#221815,40,0.71,neutral,0,f418352f-0856-4cd4-a707-e8ea90055b55
It_Only_Takes_One_Night_3_e123c9.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#692c24,#221815,40,0.71,neutral,0,f418352f-0856-4cd4-a707-e8ea90055b55
It_Only_Takes_One_Night_1_dd298d.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#221815,#ad996f,40,0.71,neutral,0,e4153d82-3ddd-46fa-8e39-ae0ec8ab8842
It_Only_Takes_One_Night_2_21675d.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#975b31,#cbc7bd,40,0.71,neutral,1,e4153d82-3ddd-46fa-8e39-ae0ec8ab8842
It_Only_Takes_One_Night_3_60b956.jpg,1TM0ipSTznWDTBn6F1Ovqg,dual-radial,#221815,#692c24,40,0.71,neutral,0,e4153d82-3ddd-46fa-8e39-ae0ec8ab8842
It_Only_Takes_One_Night_1_adbbc7.jpg,1TM0ipSTznWDTBn6F1Ovqg,dual-radial,#cbc7bd,#692c24,40,0.71,neutral,0,1eec7c89-2177-44b9-b42a-ce8691ed9eb3
It_Only_Takes_One_Night_2_59231e.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#61574c,#cbc7bd,40,0.71,neutral,0,1eec7c89-2177-44b9-b42a-ce8691ed9eb3
It_Only_Takes_One_Night_3_b7f56a.jpg,1TM0ipSTznWDTBn6F1Ovqg,dual-radial,#692c24,#ad996f,40,0.71,neutral,1,1eec7c89-2177-44b9-b42a-ce8691ed9eb3
It_Only_Takes_One_Night_1_f16be0.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#ad996f,#221815,40,0.71,neutral,1,f3a25d7c-e079-4b09-bc27-6c5495e86442
It_Only_Takes_One_Night_2_3b273c.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#975b31,#221815,40,0.71,neutral,0,f3a25d7c-e079-4b09-bc27-6c5495e86442
It_Only_Takes_One_Night_3_13ef05.jpg,1TM0ipSTznWDTBn6F1Ovqg,dual-radial,#221815,#692c24,40,0.71,neutral,0,f3a25d7c-e079-4b09-bc27-6c5495e86442
It_Only_Takes_One_Night_1_1f4548.jpg,1TM0ipSTznWDTBn6F1Ovqg,linear,#221815,#ad996f,40,0.71,neutral,0,08c6fbad-fe1c-4931-8e98-d82fdb909a38
It_Only_Takes_One_Night_2_9ba4dc.jpg,1TM0ipSTznWDTBn6F1Ovqg,dual-radial,#975b31,#692c24,40,0.71,neutral,0,08c6fbad-fe1c-4931-8e98-d82fdb909a38
It_Only_Takes_One_Night_3_b72530.jpg,1TM0ipSTznWDTBn6F1Ovqg,dual-radial,#cbc7bd,#692c24,40,0.71,neutral,1,08c6fbad-fe1c-4931-8e98-d82fdb909a38
Maharani_1_b24ee0.jpg,7unLxuzKpxbjASww1qi4br,shape-blur,#682d1c,#a40504,0,0.64,warm,1,2b764414-f1a7-48d7-9dda-a59f701822d5
Maharani_2_89d2fe.jpg,7unLxuzKpxbjASww1qi4br,linear,#682d1c,#d66c5d,0,0.64,warm,0,2b764414-f1a7-48d7-9dda-a59f701822d5
Maharani_3_963a91.jpg,7unLxuzKpxbjASww1qi4br,diagonal,#682d1c,#a40504,0,0.64,warm,0,2b764414-f1a7-48d7-9dda-a59f701822d5
Maharani_1_c12d37.jpg,7unLxuzKpxbjASww1qi4br,diagonal,#d1797c,#d8c9a8,0,0.64,warm,0,f34b0a2c-e9a6-4073-b42a-9584f0a0a91a
Maharani_2_33afeb.jpg,7unLxuzKpxbjASww1qi4br,diagonal,#682d1c,#d66c5d,0,0.64,warm,0,f34b0a2c-e9a6-4073-b42a-9584f0a0a91a
Maharani_3_5ddae7.jpg,7unLxuzKpxbjASww1qi4br,radial,#a40504,#d8c9a8,0,0.64,warm,1,f34b0a2c-e9a6-4073-b42a-9584f0a0a91a
Stereo_Hearts_feat_Adam_Levine_1_9553e6.jpg,0qOnSQQF0yzuPWsXrQ9paz,dual-radial,#74af94,#9c8494,88,0.84,neutral,1,5d12cef5-b6f2-45c2-a581-b8a60d25ca1c
